BIN1_CHR	BIN1_START	BIN1_END	BIN2_CHROMOSOME	BIN2_START	BIN2_END	FDR	DETECTION_SCALE
chr1	85050000	85060000	chr1	85430000	85440000	0.003050251116002878	2.111212657236631
chr1	85060000	85070000	chr1	85540000	85550000	8.618931284254394e-05	2.111212657236631
chr1	85250000	85260000	chr1	85510000	85520000	0.005510386719083826	2.111212657236631
chr1	152720000	152730000	chr1	153340000	153350000	0.0027184092405652116	2.111212657236631
chr1	154900000	154910000	chr1	155080000	155090000	0.009239303587593034	2.599207668339954
chr1	161670000	161680000	chr1	162530000	162540000	0.009239303587593034	2.111212657236631
chr1	162530000	162540000	chr1	163790000	163800000	0.009745371125809976	2.111212657236631
chr2	90540000	90550000	chr2	91410000	91420000	0.004968930380834828	3.2
chr2	109730000	109740000	chr2	110030000	110040000	0.0020435969809404764	2.111212657236631
chr2	175740000	175750000	chr2	176190000	176200000	0.004079620413042262	2.111212657236631
chr2	177070000	177080000	chr2	177410000	177420000	0.004079620413042262	2.111212657236631
chr4	73320000	73330000	chr4	73530000	73540000	0.004700952186134355	2.111212657236631
chr4	73530000	73540000	chr4	73810000	73820000	1.70221238654511e-06	2.599207668339954
chr4	143330000	143340000	chr4	143630000	143640000	0.004813649792279939	2.599207668339954
chr4	147390000	147400000	chr4	147780000	147790000	0.005272436575538651	2.111212657236631
chr5	26140000	26150000	chr5	26300000	26310000	8.711432028074562e-06	2.111212657236631
chr5	26140000	26150000	chr5	26470000	26480000	5.318395667837095e-05	2.599207668339954
chr5	93630000	93640000	chr5	94350000	94360000	0.00026544526181115913	2.111212657236631
chr5	93630000	93640000	chr5	95010000	95020000	0.0015998313049605528	2.111212657236631
chr5	93680000	93690000	chr5	93940000	93950000	1.566171486899748e-05	2.111212657236631
chr5	93690000	93700000	chr5	94950000	94960000	0.006060801816170905	2.111212657236631
chr5	93770000	93780000	chr5	94840000	94850000	0.007039954745681138	2.111212657236631
chr5	93830000	93840000	chr5	94600000	94610000	0.0015998313049605528	2.111212657236631
chr5	95060000	95070000	chr5	95820000	95830000	0.008850766007904977	2.111212657236631
chr5	146100000	146110000	chr5	146430000	146440000	1.2839750179738374e-06	2.111212657236631
chr6	51160000	51170000	chr6	52200000	52210000	0.0067883839737581395	2.111212657236631
chr6	67820000	67830000	chr6	68010000	68020000	0.009569868507265631	2.111212657236631
chr6	69240000	69250000	chr6	69580000	69590000	0.0002231451886007818	2.599207668339954
chr6	69370000	69380000	chr6	69580000	69590000	0.009569868507265631	2.111212657236631
chr6	103280000	103290000	chr6	103660000	103670000	0.006609847339784869	2.599207668339954
chr6	112180000	112190000	chr6	112340000	112350000	0.0063291502991529025	2.111212657236631
chr6	114480000	114490000	chr6	114590000	114600000	4.049618973489544e-09	2.111212657236631
chr6	119920000	119930000	chr6	120370000	120380000	0.005600537384600757	2.111212657236631
chr7	3730000	3740000	chr7	3840000	3850000	0.0005395682073718877	2.111212657236631
chr7	3730000	3740000	chr7	3900000	3910000	1.1259810284336423e-05	2.111212657236631
chr7	14880000	14890000	chr7	15170000	15180000	3.1330413818864145e-09	2.111212657236631
chr7	14900000	14910000	chr7	14990000	15000000	2.1387863347044345e-07	2.111212657236631
chr7	43610000	43620000	chr7	43860000	43870000	1.1058680056519334e-05	2.599207668339954
chr7	43760000	43770000	chr7	43860000	43870000	0.00512327459442295	2.111212657236631
chr7	59010000	59020000	chr7	59250000	59260000	6.144774342098369e-05	2.599207668339954
chr7	59360000	59370000	chr7	59530000	59540000	1.9663876120290524e-05	2.111212657236631
chr7	68230000	68240000	chr7	68470000	68480000	0.0010878453225686702	2.111212657236631
chr7	101800000	101810000	chr7	102100000	102110000	0.0047975259941490656	2.599207668339954
chr8	58000000	58010000	chr8	58250000	58260000	0.004170686112763475	2.599207668339954
chr8	80410000	80420000	chr8	81440000	81450000	0.002122656492700603	2.111212657236631
chr8	117410000	117420000	chr8	117820000	117830000	0.002697989938094114	2.111212657236631
chr11	60470000	60480000	chr11	60560000	60570000	2.7876641561785935e-06	2.111212657236631
chr11	77710000	77720000	chr11	77850000	77860000	0.008317031903010808	2.111212657236631
chr12	8380000	8390000	chr12	8560000	8570000	0.006186603676515412	3.2
chr12	18950000	18960000	chr12	19880000	19890000	0.0008024631123609849	2.111212657236631
chr12	20480000	20490000	chr12	21810000	21820000	0.0011672084537352652	2.111212657236631
chr12	20550000	20560000	chr12	21730000	21740000	0.0018723114802170206	2.111212657236631
chr12	23150000	23160000	chr12	23790000	23800000	0.008639347064943181	2.111212657236631
chr13	23730000	23740000	chr13	23940000	23950000	0.004273211044317549	2.111212657236631
chr13	43730000	43740000	chr13	43880000	43890000	0.004927261310920805	2.111212657236631
chr13	56430000	56440000	chr13	56570000	56580000	0.002377392607539086	2.111212657236631
chr13	65500000	65510000	chr13	66030000	66040000	0.001229165929606757	2.111212657236631
chr13	65630000	65640000	chr13	66450000	66460000	0.0005629958265073398	2.111212657236631
chr13	65760000	65770000	chr13	66610000	66620000	0.0007257451247002095	2.111212657236631
chr13	65760000	65770000	chr13	66870000	66880000	0.005887748553692507	2.111212657236631
chr13	65960000	65970000	chr13	66250000	66260000	0.0025072780301018116	2.111212657236631
chr13	66500000	66510000	chr13	66660000	66670000	0.0071467827350593	2.111212657236631
chr13	68100000	68110000	chr13	68280000	68290000	0.00016600338894301458	2.111212657236631
chr13	68100000	68110000	chr13	68380000	68390000	2.577377797852165e-06	2.111212657236631
chr13	68110000	68120000	chr13	68490000	68500000	2.677618357971312e-05	2.111212657236631
chr13	68270000	68280000	chr13	68390000	68400000	0.003476931506188441	2.111212657236631
chr13	68270000	68280000	chr13	68490000	68500000	0.0001752942603499008	2.111212657236631
chr13	68340000	68350000	chr13	68570000	68580000	0.0025329227825746717	2.111212657236631
chr13	68380000	68390000	chr13	68490000	68500000	0.0015927576544087882	2.111212657236631
chr14	15040000	15050000	chr14	16910000	16920000	1.686207829115771e-05	2.111212657236631
chr14	15750000	15760000	chr14	16920000	16930000	0.008691426573737553	2.111212657236631
chr14	16020000	16030000	chr14	17630000	17640000	9.612724517460425e-05	2.111212657236631
chr14	16100000	16110000	chr14	16910000	16920000	0.006035935156240479	2.111212657236631
chr14	16100000	16110000	chr14	17260000	17270000	0.0054572024922247	2.111212657236631
chr14	16110000	16120000	chr14	17540000	17550000	3.177688348554586e-05	2.111212657236631
chr14	17550000	17560000	chr14	18740000	18750000	0.0035778298483663262	2.111212657236631
chr14	17890000	17900000	chr14	18750000	18760000	0.008691426573737553	2.111212657236631
chr14	18600000	18610000	chr14	18740000	18750000	0.0003698517917279487	2.111212657236631
chr14	18600000	18610000	chr14	18990000	19000000	0.008691426573737553	2.599207668339954
chr14	18740000	18750000	chr14	18990000	19000000	0.0023934572016964624	2.111212657236631
chr14	18760000	18770000	chr14	19570000	19580000	0.008691426573737553	2.111212657236631
chr14	18990000	19000000	chr14	19220000	19230000	0.008691426573737553	2.111212657236631
chr14	19000000	19010000	chr14	19570000	19580000	0.0035778298483663262	2.111212657236631
chr14	106330000	106340000	chr14	106700000	106710000	0.0002046751832631699	2.111212657236631
chr17	36670000	36680000	chr17	37080000	37090000	0.0006243975247983702	2.111212657236631
chrX	3360000	3370000	chrX	4450000	4460000	0.0027079317126643687	2.111212657236631
chrX	23980000	23990000	chrX	24060000	24070000	0.0023652709177583255	2.111212657236631
chrX	24280000	24290000	chrX	25100000	25110000	0.006880642732822739	2.111212657236631
chrX	24460000	24470000	chrX	25940000	25950000	0.0023652709177583255	2.111212657236631
chrX	25380000	25390000	chrX	25910000	25920000	0.009800727170121704	2.111212657236631
chrX	25810000	25820000	chrX	25940000	25950000	0.0023652709177583255	2.111212657236631
chrX	28280000	28290000	chrX	29820000	29830000	0.009800727170121704	2.111212657236631
chrX	28290000	28300000	chrX	30150000	30160000	0.009721302484850421	2.111212657236631
chrX	30790000	30800000	chrX	31350000	31360000	0.006880642732822739	2.111212657236631
chrX	31640000	31650000	chrX	33360000	33370000	0.005326853546272291	2.111212657236631
chrX	31680000	31690000	chrX	33310000	33320000	0.005326853546272291	2.111212657236631
chrX	33300000	33310000	chrX	33890000	33900000	0.004151910845616169	2.111212657236631
chrX	33350000	33360000	chrX	33840000	33850000	0.004151910845616169	2.111212657236631
chrX	141600000	141610000	chrX	141840000	141850000	0.001137200207353417	2.111212657236631
chrX	146550000	146560000	chrX	147880000	147890000	0.002083934810781907	2.111212657236631
chrX	146560000	146570000	chrX	147080000	147090000	0.00017044839959989844	2.111212657236631
chrX	146670000	146680000	chrX	147860000	147870000	0.00037338926348562396	2.111212657236631
chrX	146760000	146770000	chrX	147060000	147070000	0.005763211456689962	2.111212657236631
chrX	146770000	146780000	chrX	147630000	147640000	0.00723163236927311	2.111212657236631
chrX	146950000	146960000	chrX	147080000	147090000	0.0002036603675508175	2.111212657236631
chrX	146950000	146960000	chrX	148710000	148720000	0.004885520103320107	2.111212657236631
