BIN1_CHR	BIN1_START	BIN1_END	BIN2_CHROMOSOME	BIN2_START	BIN2_END	FDR	DETECTION_SCALE
chr1	39050000	39060000	chr1	39380000	39390000	0.0014322851864891908	2.599207668339954
chr1	79770000	79780000	chr1	80070000	80080000	0.008005097465199887	2.111212657236631
chr1	80810000	80820000	chr1	81260000	81270000	0.002655764196622279	2.111212657236631
chr1	85050000	85060000	chr1	85430000	85440000	0.006294520193478456	2.111212657236631
chr1	85060000	85070000	chr1	85540000	85550000	0.0033374059718709326	2.111212657236631
chr1	85250000	85260000	chr1	85520000	85530000	0.008005097465199887	2.111212657236631
chr1	85290000	85300000	chr1	85460000	85470000	0.008193074953211088	2.111212657236631
chr1	86540000	86550000	chr1	86970000	86980000	0.00386397494834938	2.111212657236631
chr1	86600000	86610000	chr1	86960000	86970000	0.008005097465199887	2.111212657236631
chr1	88680000	88690000	chr1	89110000	89120000	0.0033374059718709326	2.599207668339954
chr1	89980000	89990000	chr1	90520000	90530000	0.002413646588228513	2.111212657236631
chr1	151690000	151700000	chr1	152240000	152250000	0.0064055362396987425	2.599207668339954
chr1	152400000	152410000	chr1	152620000	152630000	0.00021385147283758954	2.111212657236631
chr1	153430000	153440000	chr1	153610000	153620000	0.0007538000729001324	2.111212657236631
chr1	153760000	153770000	chr1	154050000	154060000	0.0005699571775491149	2.111212657236631
chr1	154160000	154170000	chr1	154600000	154610000	0.0007538000729001324	2.111212657236631
chr1	154660000	154670000	chr1	154870000	154880000	0.0005699571775491149	2.111212657236631
chr1	154910000	154920000	chr1	155080000	155090000	0.0011534421908256042	2.599207668339954
chr1	155960000	155970000	chr1	156070000	156080000	0.009515911018390156	2.111212657236631
chr1	156740000	156750000	chr1	156890000	156900000	0.0007447749147970433	2.111212657236631
chr1	158540000	158550000	chr1	158770000	158780000	0.0019136179141361856	2.111212657236631
chr1	160050000	160060000	chr1	160190000	160200000	0.009515911018390156	2.111212657236631
chr1	161820000	161830000	chr1	162130000	162140000	0.00022257283626399746	2.599207668339954
chr1	161830000	161840000	chr1	162040000	162050000	0.0002580177303765918	2.111212657236631
chr1	180090000	180100000	chr1	180230000	180240000	0.00255076032385948	2.599207668339954
chr1	182810000	182820000	chr1	183010000	183020000	0.00949796621790111	2.599207668339954
chr1	191870000	191880000	chr1	192390000	192400000	0.005060751137124675	2.111212657236631
chr2	26930000	26940000	chr2	27120000	27130000	0.0026620612316388126	2.111212657236631
chr2	28090000	28100000	chr2	28300000	28310000	0.009902771442231666	2.111212657236631
chr2	30330000	30340000	chr2	30680000	30690000	0.0026620612316388126	2.111212657236631
chr2	33040000	33050000	chr2	33230000	33240000	0.0026620612316388126	2.599207668339954
chr2	35440000	35450000	chr2	35800000	35810000	0.0026620612316388126	2.111212657236631
chr2	49660000	49670000	chr2	50160000	50170000	0.0020502094735244114	2.111212657236631
chr2	71420000	71430000	chr2	71640000	71650000	0.00028183813104720734	2.111212657236631
chr2	73890000	73900000	chr2	74480000	74490000	0.006848372892846344	2.599207668339954
chr2	74540000	74550000	chr2	74960000	74970000	0.0005295656914341418	2.111212657236631
chr2	80170000	80180000	chr2	80360000	80370000	0.005583356078136471	2.111212657236631
chr2	83850000	83860000	chr2	84250000	84260000	0.006848372892846344	3.2
chr2	91120000	91130000	chr2	91290000	91300000	0.0007257566305758356	2.111212657236631
chr2	102920000	102930000	chr2	103170000	103180000	0.0006530430361898857	2.111212657236631
chr2	109740000	109750000	chr2	110030000	110040000	0.0015947448365232209	2.111212657236631
chr2	131390000	131400000	chr2	131650000	131660000	0.0011750879789282909	2.111212657236631
chr2	156370000	156380000	chr2	156540000	156550000	0.009279769707305485	2.111212657236631
chr2	165930000	165940000	chr2	166410000	166420000	0.003072684818165472	2.111212657236631
chr2	166430000	166440000	chr2	166620000	166630000	0.0007587938028608131	2.111212657236631
chr2	167530000	167540000	chr2	167730000	167740000	0.003072684818165472	2.599207668339954
chr2	168100000	168110000	chr2	168280000	168290000	0.005025426273111755	2.111212657236631
chr2	168310000	168320000	chr2	168470000	168480000	0.0034433538697644403	2.111212657236631
chr2	168830000	168840000	chr2	169930000	169940000	0.00863884235537145	2.111212657236631
chr2	169960000	169970000	chr2	170170000	170180000	0.004486639964740271	2.111212657236631
chr2	172680000	172690000	chr2	172830000	172840000	0.005441135054679136	2.111212657236631
chr2	173040000	173050000	chr2	173390000	173400000	0.0007587938028608131	2.599207668339954
chr2	181040000	181050000	chr2	181150000	181160000	0.004486639964740271	2.111212657236631
chr3	14930000	14940000	chr3	15270000	15280000	0.006561411854009714	2.111212657236631
chr3	52160000	52170000	chr3	52900000	52910000	0.006676490244073352	2.111212657236631
chr3	52930000	52940000	chr3	53350000	53360000	0.006676490244073352	2.111212657236631
chr3	54260000	54270000	chr3	54580000	54590000	0.006676490244073352	2.599207668339954
chr3	57380000	57390000	chr3	57520000	57530000	0.008211929762899195	2.599207668339954
chr3	81940000	81950000	chr3	82250000	82260000	0.004450686302637674	2.599207668339954
chr3	83020000	83030000	chr3	83160000	83170000	0.004450686302637674	2.111212657236631
chr3	96840000	96850000	chr3	97090000	97100000	0.003184371039619549	2.111212657236631
chr3	100880000	100890000	chr3	101190000	101200000	0.008246173090700193	2.111212657236631
chr3	101400000	101410000	chr3	101710000	101720000	0.006961411950486036	2.111212657236631
chr3	103920000	103930000	chr3	104350000	104360000	0.006961411950486036	2.111212657236631
chr3	104410000	104420000	chr3	104580000	104590000	0.008246173090700193	2.111212657236631
chr3	107600000	107610000	chr3	107770000	107780000	0.0033659094573018633	2.111212657236631
chr3	115830000	115840000	chr3	116120000	116130000	0.0029107197672826324	2.111212657236631
chr3	121680000	121690000	chr3	121920000	121930000	0.0029107197672826324	2.111212657236631
chr3	130520000	130530000	chr3	131030000	131040000	0.0074052698049609225	2.111212657236631
chr3	141570000	141580000	chr3	141970000	141980000	0.0017454688240956528	2.111212657236631
chr4	34980000	34990000	chr4	35140000	35150000	0.0029376334999220433	2.599207668339954
chr4	46690000	46700000	chr4	47020000	47030000	0.00023294755597913497	2.111212657236631
chr4	62720000	62730000	chr4	63020000	63030000	0.007628066571003733	2.599207668339954
chr4	65040000	65050000	chr4	65410000	65420000	0.008785052598893416	3.2
chr4	73550000	73560000	chr4	73810000	73820000	2.1947340169692353e-06	3.2
chr4	82940000	82950000	chr4	83100000	83110000	0.002391807682625008	2.111212657236631
chr4	111350000	111360000	chr4	111480000	111490000	0.0033263965151812958	2.111212657236631
chr4	114530000	114540000	chr4	114760000	114770000	0.0057007642970747785	2.111212657236631
chr4	118860000	118870000	chr4	119020000	119030000	0.0028127489426633674	2.111212657236631
