BIN1_CHR	BIN1_START	BIN1_END	BIN2_CHROMOSOME	BIN2_START	BIN2_END	FDR	DETECTION_SCALE
chr1	4580000	4590000	chr1	4830000	4840000	0.0045111614085845035	2.111212657236631
chr1	13850000	13860000	chr1	14790000	14800000	0.006506864275918644	2.111212657236631
chr1	17230000	17240000	chr1	17700000	17710000	0.002742120767493361	2.111212657236631
chr1	18430000	18440000	chr1	19040000	19050000	0.002742120767493361	2.111212657236631
chr1	19280000	19290000	chr1	20030000	20040000	0.004284895139699757	2.111212657236631
chr1	21000000	21010000	chr1	21230000	21240000	0.0014977903141260651	2.111212657236631
chr1	21480000	21490000	chr1	22030000	22040000	0.0010697193772335467	2.111212657236631
chr1	21480000	21490000	chr1	22330000	22340000	0.0010697193772335467	2.111212657236631
chr1	22630000	22640000	chr1	23170000	23180000	0.0010697193772335467	2.599207668339954
chr1	22640000	22650000	chr1	23100000	23110000	0.004284895139699757	2.111212657236631
chr1	22650000	22660000	chr1	23300000	23310000	0.007757984129431794	2.111212657236631
chr1	30830000	30840000	chr1	31180000	31190000	0.0018857159073587954	3.2
chr1	30830000	30840000	chr1	30970000	30980000	0.009447476265486298	2.599207668339954
chr1	34250000	34260000	chr1	34450000	34460000	0.001223250151697619	3.2
chr1	35870000	35880000	chr1	36100000	36110000	0.0013076438252826081	2.111212657236631
chr1	36370000	36380000	chr1	36530000	36540000	0.009240706235747857	2.599207668339954
chr1	36580000	36590000	chr1	36720000	36730000	0.0037511781146702394	2.111212657236631
chr1	36820000	36830000	chr1	37270000	37280000	0.003418052682317831	3.6758347359905126
chr1	37300000	37310000	chr1	37670000	37680000	0.004284895139699757	2.111212657236631
chr1	37480000	37490000	chr1	37670000	37680000	0.0052728832967654194	2.111212657236631
chr1	38220000	38230000	chr1	38820000	38830000	0.002235554897496883	2.599207668339954
chr1	39050000	39060000	chr1	39370000	39380000	0.0005028161847776547	2.599207668339954
chr1	39040000	39050000	chr1	39550000	39560000	0.00026965853741667267	2.111212657236631
chr1	40040000	40050000	chr1	40410000	40420000	0.001602904953515205	2.111212657236631
chr1	40140000	40150000	chr1	40400000	40410000	0.0036455720581186793	2.599207668339954
chr1	42950000	42960000	chr1	43100000	43110000	0.002400792065153585	2.599207668339954
chr1	43180000	43190000	chr1	43300000	43310000	0.0005028161847776547	2.111212657236631
chr1	43330000	43340000	chr1	43770000	43780000	0.0023632732109363916	3.2
chr1	44260000	44270000	chr1	44780000	44790000	0.00490131577460462	2.111212657236631
chr1	44790000	44800000	chr1	45350000	45360000	0.001602904953515205	2.599207668339954
chr1	45860000	45870000	chr1	45960000	45970000	0.002272736586305757	2.111212657236631
chr1	45860000	45870000	chr1	46050000	46060000	0.00025509426756409326	2.111212657236631
chr1	51000000	51010000	chr1	51370000	51380000	0.001718031051783919	2.111212657236631
chr1	50990000	51000000	chr1	51640000	51650000	0.0020620026239048348	2.599207668339954
chr1	51500000	51510000	chr1	51630000	51640000	0.001303079390670917	2.111212657236631
chr1	53090000	53100000	chr1	53310000	53320000	0.007418769095514906	2.599207668339954
chr1	55450000	55460000	chr1	55870000	55880000	0.0011079445979745195	2.599207668339954
chr1	55450000	55460000	chr1	55770000	55780000	0.001303079390670917	2.111212657236631
chr1	55930000	55940000	chr1	57240000	57250000	0.002961942905219411	2.111212657236631
